Title,Description,Work Item Type,Area Path,Iteration Path,Assigned To,State
5.13.1 (MP-PAY-01) 确认订单沽清/预扣校验,[P2] 提交前二次校验沽清与可用库存；预扣被在途待支付订单占用；不满足时阻止提交并指明商品,Task,Peterson,Peterson\Sprint 3,teresa.mo,New
5.13.2 (MP-PAY-02) 微信付款与待支付超时,[P2] 创建未支付订单即锁库存；支付失败生成待支付订单且可继续支付；15 分钟（900 秒）未支付→支付超时取消并释放锁定库存,Task,Peterson,Peterson\Sprint 3,teresa.mo,New
5.13.3 (MP-PAY-03) 支付成功后续逻辑,[P2] 订单→待制作（状态 11）并入「提货开始−60 分钟」延时队列；清预扣、扣真实库存、生成销售出库；券核销与积分累计完成；流程幂等防重复,Task,Peterson,Peterson\Sprint 3,teresa.mo,New
5.13.4 (MP-PAY-04) 待提货倒计时与文案,[P2] 待制作「商家备货中」→制作中「商家制作中」→出餐后「待取单·请尽快取餐」；出餐 1h~24h 提示餐品易变质、24h~48h 提示取餐码即将失效并显示剩余时分秒倒计时（不取消订单）；满 48h 自动完成并隐藏取餐码，标注「超时订单自动完成」,Task,Peterson,Peterson\Sprint 3,teresa.mo,New
5.13.5 (MP-PAY-05) 取消订单库存补回,[P2] 待支付订单主动取消→释放对应锁定库存；已支付订单不走此路径；取消幂等，重复操作不重复释放,Task,Peterson,Peterson\Sprint 3,teresa.mo,New
5.13.6 (MP-PAY-06) 超时取消订单库存补回,[P2] 超时取消与手动取消释放结果一致；仅释放本单锁定、尚未真实扣减的库存；状态置支付超时并清理延时队列,Task,Peterson,Peterson\Sprint 3,teresa.mo,New
5.13.7 (MP-PAY-07) 待自提订单超时自动完成,[P2] 自提/堂食/外带统一适用「待取单+48h→已完成」；自动完成后隐藏取餐码、停止超时提醒；与店员手动完成/扫码取餐结果一致,Task,Peterson,Peterson\Sprint 3,teresa.mo,New
5.13.8 (MP-ORDER-01) 自取时间段列表,[P2] 由门店多营业时间生成可选时段；已过/非营业时段置灰；支持「立即取单」；默认选中最早可预约时段；下单校验所选时段必须落在营业时间内,Task,Peterson,Peterson\Sprint 3,teresa.mo,New
5.13.9 (MP-ORDER-02) 支付界面价格显示,[P2] 展示商品总价、优惠券、合计、应收金额；选券联动刷新；应收=合计−抹零；金额四舍五入无误差,Task,Peterson,Peterson\Sprint 3,teresa.mo,New
5.13.10 (MP-ORDER-03) 订单列表/详情价格显示,[P2] 列表与详情金额口径与支付时、后台一致；退款后展示优惠后实收/退款信息；无舍入误差,Task,Peterson,Peterson\Sprint 3,teresa.mo,New
5.14.1 (MP3-COUPON-01) 优惠券列表展示适用门店,[P2] 券列表/券说明展示适用门店名称或「全部门店」；数据取自券适用门店配置；门店多时支持折叠查看；不可用券在不可用原因中体现门店范围,Task,Peterson,Peterson\Sprint 4,teresa.mo,New
5.15.1 (MP3-MENU-01) 分类图标、富文本与标签展示,[P2] 分类展示图标；列表商品可展示富文本摘要与标签（如优惠/沽清）；后台提供显示开关，关闭后前端不展示；图标加载失败占位正常,Task,Peterson,Peterson\Sprint 4,teresa.mo,New
5.15.2 (MP3-MENU-02) 商品列表查询改造,[P2] 适配新属性结构（属性组/选项）与新分类结构（全局分类、套餐分类）后的查询；筛选项、属性展示、分类归属数据正确；性能不劣于现网,Task,Peterson,Peterson\Sprint 4,teresa.mo,New
5.15.3 (MP3-MENU-03) 商品最优券规则修改,[P2] 同一商品多张可用券时：①按商品价格与券算出的优惠金额从高到低；②优惠金额相同按有效期最短优先（快过期排前）；③再相同按 现金券＞打折券＞兑换券 排序,Task,Peterson,Peterson\Sprint 4,teresa.mo,New
5.15.4 (MP3-MENU-04) 商品列表展示套餐,[P2] 当分类为系统套餐分类时，展示促销活动中的套餐内容；同一分类可展示多个套餐活动；套餐卡片展示名称、价格、套餐组概要,Task,Peterson,Peterson\Sprint 4,teresa.mo,New
5.15.5 (MP3-MENU-05) 套餐详情,[P2] 展示套餐具体内容：套餐组、每个套餐组内商品列表与数量、套餐价/优惠说明；固价/套餐促销的优惠边界清晰（附录 13.8）,Task,Peterson,Peterson\Sprint 4,teresa.mo,New
5.16.1 (MP3-CFM-01) 套餐加入购物车/订单结构,[P2] 订单结构不仅含单品，还可含套餐组（套餐→套餐组→组内商品/数量）；套餐商品在购物车分组展示、可整组调整数量；价格与库存按组内商品正确计算,Task,Peterson,Peterson\Sprint 4,teresa.mo,New
5.16.2 (MP3-CFM-02) 促销活动应用,[P2] 购物车/结账按促销活动（套餐促销/满减/打折特价）计算促销优惠金额；套餐促销默认不参与会员折上折与优惠券整单优惠；活动失效/不满足条件时实时重算并提示,Task,Peterson,Peterson\Sprint 4,teresa.mo,New
5.16.3 (MP3-CFM-03) 固价商品不参与优惠,[P2] 标记固价的商品不参与优惠券、促销活动、折扣等任何优惠；各类计价中固价商品按固价计入,Task,Peterson,Peterson\Sprint 4,teresa.mo,New
5.16.4 (MP3-CFM-04) 打包费应用（自提无服务费）,[P2] 购物车/结账计算打包费并单独列示；小程序自提订单不计服务费；费用参与应付金额与订单快照,Task,Peterson,Peterson\Sprint 4,teresa.mo,New
5.16.5 (MP3-CFM-05) 购物车/结账 Redis 改造,[P2] Redis 购物车结构支持套餐组、促销优惠、打包费等新字段；与 POS 结构兼容；异常/并发下数据不丢失不错乱,Task,Peterson,Peterson\Sprint 4,teresa.mo,New
5.17.1 (MP3-ORD-01) 订单列表分类与合并展示,[P2] 提供全部/自提/外卖/门店/其他分类 tab/筛选；一单多商品合并为一张订单卡展示并带分类标签；tab 计数准确,Task,Peterson,Peterson\Sprint 4,teresa.mo,New
5.17.2 (MP3-ORD-02) 订单列表套餐显示,[P2] 含套餐的订单在列表展示套餐名称/概要（如「套餐 ×1 等」）；与单品混排清晰,Task,Peterson,Peterson\Sprint 4,teresa.mo,New
5.17.3 (MP3-ORD-03) 订单详情菜单展开/收起,[P2] 菜单商品超过 2 个时默认收起、点击展开/收起；展开状态不影响金额与操作区,Task,Peterson,Peterson\Sprint 4,teresa.mo,New
5.17.4 (MP3-ORD-04) 订单详情新增费用字段,[P2] 金额区增加促销活动优惠、服务费、打包费（自提为 0 服务费）；与支付时及后台口径一致,Task,Peterson,Peterson\Sprint 4,teresa.mo,New
5.17.5 (MP3-ORD-05) 订单详情套餐显示,[P2] 按套餐组展示套餐：套餐名、组内商品与数量、套餐价/优惠；退单后套餐行展示退款状态,Task,Peterson,Peterson\Sprint 4,teresa.mo,New
6.1.1 (POS-AUTH-01) 店员登录并绑定门店,[P2] 非店员身份（普通会员/无账号）拒绝登录；登录后会话携带 storeId，商品/订单/库存/会员数据均限定本门店；Token 过期需重新登录，退出后鉴权接口返回 401,Task,Peterson,Peterson\Sprint 3,teresa.mo,New
6.2.1 (POS-PROD-01) 分类列表,[P2] 按后台 SortOrder 展示本门店、点餐端可见的分类；空分类占位正常,Task,Peterson,Peterson\Sprint 3,teresa.mo,New
6.2.2 (POS-PROD-02) 一/二级分类商品,[P2] 一级分类直属商品与其下各二级分类商品都能取到；不重复不遗漏；排序稳定,Task,Peterson,Peterson\Sprint 3,teresa.mo,New
6.2.3 (POS-PROD-03) 搜索商品,[P2] 支持商品名称模糊匹配；名称+分类条件 AND；空结果友好提示；特殊字符安全处理,Task,Peterson,Peterson\Sprint 3,teresa.mo,New
6.2.4 (POS-PROD-04) 沽清/售罄检查,[P2] 规格沽清或「库存−预扣≤0」显示「售罄」；售罄商品不可加购、不可结算；恢复/补货后状态实时更新,Task,Peterson,Peterson\Sprint 3,teresa.mo,New
6.2.5 (POS-PROD-05) 商品最优券角标,[P2] 对当前会员，在商品上显示其在门店场景可用、优惠金额最大的一张券名称；无券不显示角标；切换会员后刷新,Task,Peterson,Peterson\Sprint 3,teresa.mo,New
6.3.1 (POS-MEM-01) 手机号搜索会员,[P2] 手机号精确,Task,Peterson,Peterson\Sprint 3,teresa.mo,New
6.3.2 (POS-MEM-02) 扫会员码确定会员,[P2] 扫码解析并定位唯一会员、锁定当前购物车,Task,Peterson,Peterson\Sprint 3,teresa.mo,New
6.3.3 (POS-MEM-03) 购物车优惠券,[P2] 仅列门店场景、在有效期、满足门槛的可用券；选券后金额实时重算；不可用券不进入可结算选择,Task,Peterson,Peterson\Sprint 3,teresa.mo,New
6.4.1 (POS-CART-01) POS 购物车,[P2] 堂食=OrderAttri 3、外带=4；规格/属性必选校验，数量合法（1-99）；已沽清显示售罄；按「库存−预扣」校验，库存不足实时拦截；支持单品备注,Task,Peterson,Peterson\Sprint 3,teresa.mo,New
6.5.1 (POS-CHK-01) POS 结账,[P2] 1) 价格明细完整：商品总价、优惠券、合计、抹零、应收金额；2) 支持现金/微信/POS 机/支付宝/余额/代金券及组合拆分支付并留支付明细；3) 优惠券优惠金额严格按附录 13.6 三类算法计算，退单仅退优惠后价、参与券商品全退才退券；4) 结账成功打印收银小票+后厨制作单，打印失败可在订单补打（POS-ORD-04）；5) POS 门店单结账后直接进入「制作中」并打制作单/收银小票,Task,Peterson,Peterson\Sprint 3,teresa.mo,New
6.6.1 (POS-PROG-01) 制作进度列表与状态机,[P2] 状态与流转完全符合附录 13.5：自提当前时间<提货开始−60min 为待制作（11）；到点自动转制作中（12，打制作单）；「提前制作」手动转制作中；堂食/外带结账后即制作中；「完成制作，出餐」转待取单（13）；待取单+1h 转超时单（14，仅提醒不取消）；+48h 自动完成（5），或「完成出单」/「扫码取餐」手动完成。按钮按状态显示（见附录 13.5）；出餐时间准确计算,Task,Peterson,Peterson\Sprint 3,teresa.mo,New
6.6.2 (POS-PROG-02) 制作商品详情,[P2] 展示订单详情、客户信息、支付信息、结账详情、菜单商品列表、退单列表；金额一致；制作状态与剩余时间实时刷新,Task,Peterson,Peterson\Sprint 3,teresa.mo,New
6.7.1 (POS-ORD-01) 订单列表,[P2] 支持全部/待制作/制作中/待取单/超时单/已完成/关闭（含稍后处理）；仅展示本门店订单；状态计数与列表一致；分页排序正确,Task,Peterson,Peterson\Sprint 3,teresa.mo,New
6.7.2 (POS-ORD-02) 订单详情,[P2] 展示订单详情、客户信息、支付信息、结账详情、菜单商品列表、退单列表；含商品总价/优惠/抹零/应收/实收与订单 Flow 时间线,Task,Peterson,Peterson\Sprint 3,teresa.mo,New
6.7.3 (POS-ORD-03) 退单,[P2] **仅退款：** 选择退单商品、退款金额可修改、可整品或部分退、退货数目为 0、不修改库存；**退货退款：** 退款金额不可修改（选中商品全退）、退货数目为单品数量、回补库存并生成退单入库。仅按优惠后实付价退款；每个订单单品只允许退一次；仅当参与券商品全部退款后优惠券才退回（附录 13.6）,Task,Peterson,Peterson\Sprint 3,teresa.mo,New
6.7.4 (POS-ORD-04) 补打结账单,[P2] 打印订单详情、客户信息、支付信息、结账详情、菜单商品列表；内容与原单一致；打印任务状态可追踪；厨打/收银票可分别补打,Task,Peterson,Peterson\Sprint 3,teresa.mo,New
6.8.1 (POS-MBR-01) 会员搜索,[P2] 手机号检索准确、脱敏展示,Task,Peterson,Peterson\Sprint 3,teresa.mo,New
6.8.2 (POS-MBR-02) 会员信息,[P2] 展示会员详情、积分、优惠券、消费记录；消费记录含订单类型与状态；仅展示该会员数据，越权拦截,Task,Peterson,Peterson\Sprint 3,teresa.mo,New
6.8.3 (POS-MBR-03) 新增会员,[P2] 手机号唯一性校验，重复提示已存在；无 OpenId 也可凭手机号建档；新建会员立即可被搜索/选券/积分,Task,Peterson,Peterson\Sprint 3,teresa.mo,New
6.8.4 (POS-MBR-04) 扫码识别会员,[P2] 与 POS-MEM-02 识别一致；失效码提示并可转手机号搜索,Task,Peterson,Peterson\Sprint 3,teresa.mo,New
6.9.1 (POS-WINE-01) 搜索和存酒列表,[P2] 顾客姓名/酒名/手机号可单独或组合检索；仅检索本门店存酒；空结果友好提示,Task,Peterson,Peterson\Sprint 3,teresa.mo,New
6.9.2 (POS-WINE-02) 存酒统计,[P2] 全部/即将到期/寄存中/已取出/已过期五类计数准确；临期阈值取自门店存酒设置；到期/临期按设置提醒,Task,Peterson,Peterson\Sprint 3,teresa.mo,New
6.9.3 (POS-WINE-03) 新建存酒,[P2] 顾客信息：姓名、手机号、会员等级；酒品信息：酒品名称、存入数量、酒标照片（可上传留存）；必填与手机号格式校验；有效期按门店设置（如 7/15/30/90 天）计算到期日,Task,Peterson,Peterson\Sprint 3,teresa.mo,New
6.9.4 (POS-WINE-04) 存酒凭证打印,[P2] 使用存酒凭证模板（T=3）渲染，含存酒单号/取酒码/顾客/酒品/有效期；仅使用门店设置绑定的前厅打印机与模板，未绑定时明确报错、不误打；打印任务状态可追踪,Task,Peterson,Peterson\Sprint 3,teresa.mo,New
6.9.5 (POS-WINE-05) 存酒详情,[P2] 展示存酒信息、明细、凭证、取酒记录与操作日志；状态/数量/到期信息与统计一致；取酒/作废操作按设置写日志,Task,Peterson,Peterson\Sprint 3,teresa.mo,New
6.10.1 (POS-CANCEL-01) 沽清统计,[P2] 区分未沽清、全部沽清、部分沽清；精确到商品规格；限定本门店与当前渠道,Task,Peterson,Peterson\Sprint 3,teresa.mo,New
6.10.2 (POS-CANCEL-02) 沽清菜品（规格）,[P2] 沽清精确到规格；支持手动/临时、门店/小程序渠道；沽清后 POS 与小程序显示售罄并拦截加购/下单/支付；临时沽清次日自动恢复，手动沽清不自动恢复,Task,Peterson,Peterson\Sprint 3,teresa.mo,New
6.10.3 (POS-CANCEL-03) 恢复沽清,[P2] 恢复后去除售罄角标、可加购；操作留痕（操作人/时间）；库存仍为 0 时不因恢复而超卖,Task,Peterson,Peterson\Sprint 3,teresa.mo,New
6.11.1 (POS-DASH-01) 实时营收概览,[P2] 展示营业实收、销售金额、销售总额、销售退款、订单数、自提数、外卖数、门店数、其他数；口径计算正确；随交易实时更新，支持时段/日期筛选,Task,Peterson,Peterson\Sprint 3,teresa.mo,New
6.11.2 (POS-DASH-02) 优惠券核销数据,[P2] 展示已核销张数与核销金额；仅统计已核销券；金额与订单优惠分摊一致；退货退券后统计同步,Task,Peterson,Peterson\Sprint 3,teresa.mo,New
6.11.3 (POS-DASH-03) 快捷工具-实时库存查询,[P2] 列出所有分类及其下商品库存情况（充足/偏低/售罄）；三态按预警阈值与库存判定；售罄包含库存为 0 与沽清两类原因,Task,Peterson,Peterson\Sprint 3,teresa.mo,New
6.12.1 (POS3-CREDIT-01) 挂账支付流程,[P2] 结账可选择挂账支付（PayType=6）：订单先履约、应收挂账未结清，订单可在挂账列表识别；后续经「反结账」选择支付方式结清；挂账金额、已付/未付金额清晰可查；挂账不影响制作流转,Task,Peterson,Peterson\Sprint 5,teresa.mo,New
6.12.2 (POS3-CREDIT-02) 挂账单追加菜品,[P2] 仅挂账支付的已存在订单允许追加商品；追加后重算商品总价、优惠/附加费/抹零与应付；追加记录可追溯（追加时间/操作人）；已结清订单不可追加,Task,Peterson,Peterson\Sprint 5,teresa.mo,New
6.12.3 (POS3-CREDIT-03) 店长免单,[P2] 仅店长角色可对挂账支付订单免单；免单后订单应收清零并记录免单原因/操作人；免单动作进入审计日志；店员账号看不到/不可点免单,Task,Peterson,Peterson\Sprint 5,teresa.mo,New
6.12.4 (POS3-CREDIT-04) 挂单一键清空,[P2] 提供一键清空所有挂单入口（权限控制+二次确认）；清空对象为挂账/挂单列表（注意与现有 Redis 购物车「挂单暂存」区分，规则见 13.8）；清空动作可审计,Task,Peterson,Peterson\Sprint 5,teresa.mo,New
6.13.1 (POS3-LOGIN-01) 同账号多设备登录,[P2] 同一店员账号允许在多台设备同时在线，不互相踢下线；各设备购物车/挂单按设备或会话隔离，不串单；门店数据范围仍以账号绑定门店为准；设备登录可审计,Task,Peterson,Peterson\Sprint 5,teresa.mo,New
6.14.1 (POS3-PROD-01) 最优券规则修改,[P2] 同一商品多张可用券：①按商品价格与券计算的优惠金额从高到低；②相同按有效期最短优先（快过期排前）；③再相同按 优惠券（现金券）＞打折券＞兑换券 排序,Task,Peterson,Peterson\Sprint 5,teresa.mo,New
6.14.2 (POS3-PROD-02) 商品列表查询改造,[P2] 适配属性结构修改（属性组/选项）与分类结构修改（全局分类、套餐分类）后的查询；分类、属性、价格、库存、沽清、券角标数据正确；列表性能达标,Task,Peterson,Peterson\Sprint 5,teresa.mo,New
6.14.3 (POS3-PROD-03) 商品列表展示套餐,[P2] 当分类为系统套餐分类时，展示促销活动中的套餐内容（可同时展示多个套餐活动）；套餐卡片可进入套餐详情；沽清/库存状态对套餐可点性正确约束,Task,Peterson,Peterson\Sprint 5,teresa.mo,New
6.14.4 (POS3-PROD-04) 套餐详情,[P2] 展示套餐具体内容：套餐组、套餐组内商品列表与数量、套餐价/促销规则；套餐内固价商品不参与优惠（附录 13.8）,Task,Peterson,Peterson\Sprint 5,teresa.mo,New
6.15.1 (POS3-CART-01) 购物车/结账套餐（订单结构改造）,[P2] 订单结构支持套餐组（套餐→套餐组→组内商品/数量），不仅是商品平铺；套餐可整组加减数量；套餐与单品可混单；库存/沽清按组内商品逐项校验,Task,Peterson,Peterson\Sprint 5,teresa.mo,New
