序號,用户故事編號,用戶故事描述
059,US-6.11.1,作为店员/店长，我希望查看实时营收概览，以便掌握当班经营情况。
060,US-6.11.2,作为店员/店长，我希望查看优惠券核销统计，以便评估营销使用。
061,US-6.11.3,作为店员/店长，我希望用快捷工具实时查询各分类商品库存水平，以便点单时了解备货。
062,US-6.12.1,作为店员，我希望对熟客使用挂账支付（先消费后付款），以便顾客离店前统一结算。
063,US-6.12.2,作为店员，我希望对已挂账的订单继续追加菜品，以便顾客加餐直接计入同一账单。
064,US-6.12.3,作为店长，我希望对挂账订单执行免单，以便处理客诉/赠送场景。
065,US-6.12.4,作为店员，我希望一键清空所有挂单，以便换班或误录时快速清理。
066,US-6.13.1,作为店员，我希望同一个账号能同时登录多台平板，以便门店多工位并行点单。
067,US-6.14.1,作为店员，我希望商品上的最优券按新规则推荐，以便给顾客最合理的优惠建议。
068,US-6.14.2,作为店员，我希望在套餐分类直接看到各套餐活动及其套餐组明细，以便快速点套餐。
069,US-6.15.1,作为店员，我希望购物车不仅能放单品，还能放套餐组，以便录入套餐订单。
070,US-6.15.2,作为店员，我希望结账自动算清促销优惠、服务费、打包费，以便报价准确。
071,US-6.15.3,作为店员，我希望抹零能分摊到每个商品，以便退单时准确计算单品退款。
072,US-6.15.4,作为店员，我希望购物车直接看到优惠金额（券/促销/抹零）与应付金额，以便当场与顾客核对。
073,US-6.16.1,作为店员，我希望退单时选择退几件（而不是只能整行退），以便处理多数量商品的部分退货且支持多次退。
074,US-6.16.2,作为店员，我希望退套餐时按套餐组/促销规则重算退款，以便套餐优惠不被错误退付。
075,US-6.16.3,作为店员，我希望退单时可打印退单小票，并能在退单详情补打。
076,US-6.17.1,作为店员，我希望「店内商品」在制作中状态下不可退、且退单仅限当日，以便符合门店制作与对账规则。
077,US-6.18.1,作为店员/顾客，我希望收银小票展示优惠明细与附加费，以便核对优惠构成。
078,US-6.19.1,作为店员，我希望订单列表/详情正确展示套餐，并在详情金额区看到促销活动、服务费、打包费。
079,US-6.19.2,作为店员，我希望会员消费记录也能看出套餐构成。
080,US-6.20.1,作为店员，我希望顾客取酒时打印取酒凭证，以便留痕交付。
081,US-6.20.2,作为店长，我希望实时营收的销售金额把附加费、储蓄卡消费和退单均摊券金额都计入，以便口径准确。
082,US-7.7.1.1,作为后台管理员，我希望新增店员并为其分配一个门店，以便店员登录 POS 后只操作该门店。
083,US-7.7.2.1,作为后台管理员，我希望管理四类优惠券、查看核销明细与使用记录并精准发放，以便开展门店与线上营销。
084,US-7.7.3.1,作为后台管理员，我希望查看会员积分列表，以便掌握积分余额与流水。
085,US-7.7.3.2,作为后台管理员，我希望配置积分累计规则，以便定义消费如何产生积分。
086,US-7.7.4.1,作为后台管理员，我希望添加/修改/预览厨打与收银小票机，以便配置门店出票硬件。
087,US-7.7.4.2,作为后台管理员，我希望把商品绑定到厨房小票机（一个商品绑一台厨打机），以便按工位路由出票。
088,US-7.7.5.1,作为后台管理员，我希望分别设置厨打与收银小票模板的基本/商品/结算/文本区块，以便定制票面内容。
089,US-7.7.6.1,作为后台管理员，我希望在商品上设置点餐端显示渠道与小票机设置，以便控制 POS 可见性与厨打出票。
090,US-7.7.6.2,作为后台管理员，我希望维护商品单位、批量上下架、规格属性排序。
091,US-7.7.6.3,作为后台管理员，我希望能在一级分类或其二级分类下创建商品。
092,US-7.7.6.4,作为后台管理员，我希望新增/编辑商品时不能直接修改库存，以便库存只经出入库/盘点规范变更。
093,US-7.7.7.1,作为后台管理员，我希望订单详情新增优惠金额、抹零、应收、实收、商品销售实收、售后与订单 Flow，以便完整核账。
094,US-7.7.7.2,作为后台管理员，我希望订单列表新增商品总价/优惠/抹零/应收/实收列，并查询退货/售后单。
095,US-7.7.8.1,作为后台管理员，我希望会员详情展示积分与优惠券、消费记录显示订单类型，以便全面了解会员。
096,US-7.7.9.1,作为后台管理员，我希望搜索/统计存酒并导出 Excel，以便总部管理与对账。
097,US-7.7.9.2,作为后台管理员，我希望配置存酒推送、有效期、临期提醒与凭证规则，以便规范存酒。
098,US-7.7.10.1,作为后台管理员，我希望流水新增销售出库与退单入库，以便流水与订单履约自动对齐。
099,US-7.7.10.2,作为后台管理员，我希望通过盘点修改商品库存，以便账实对齐。
100,US-7.7.11.1,作为后台管理员，我希望为门店配置一天多个营业时间段（含按周），以便支撑多时段营业与自取时段生成。
101,US-7.8.1.1,作为后台管理员，我希望系统提供一张正方形的优惠券默认图片，以便未上传图片的券在 C 端有统一展示。
102,US-7.8.2.1,作为后台管理员，我希望配置套餐促销、打折特价、满减活动，以便开展非券类营销并在 POS/小程序生效。
103,US-7.8.3.1,作为系统管理员，我希望为收银端账号设置挂账、反结账权限，并限制免单仅店长可用，以便控制资金类操作风险。
104,US-7.8.4.1,作为运营，我希望维护门店全局的商品属性列表，编辑商品属性时从列表中选择（类似筛选模型），以便属性标准化、可复用。
105,US-7.8.5.1,作为运营，我希望新的商品表单支持商品类型、固价、副单位、条码、定位 tab、参数排序、图集管理与规格拆分，以便维护更复杂的菜单。
106,US-7.8.6.1,作为总部运营，我希望统一管理全局分类并同步下发到门店，以便门店目录标准化。
107,US-7.8.6.2,作为运营，我希望系统保留唯一的「套餐」系统分类，以便套餐活动有固定挂载位置。
108,US-7.8.7.1,作为运营，我希望配置服务费与打包费规则，以便门店按规则自动计费。
109,US-7.8.8.1,作为管理员，我希望会员档案含消费次数、累计金额、来源、首充金额，并有会员 ID 与会员卡号两个编号（按渠道规则生成），以便会员运营。
110,US-7.8.9.1,作为库管，我希望库存查询、出入库、盘点与库存记录都支持副单位计量，以便按箱/件等单位管库存。
111,US-7.8.10.1,作为管理员，我希望维护取酒凭证、退单凭证（退单小票）与收银小票优惠明细模板，以便新票据统一出票。
112,US-7.8.11.1,作为管理员，我希望订单列表/详情展示促销优惠、优惠券、服务费、打包费、折后价与套餐构成，并支持订单 tab 切换，以便核账。
